YEAR,2548,2549,2550,2551,2552,2553,2554,2555,2556,2557
JAN,16,25,26,21,28,30,29,32,33,31
FEB,18,25,26,24,29,28,29,32,33,31
MAR,18,25,25,28,28,28,29,32,33,32
APR,19,26,24,30,28,28,30,32,33,32
MAY,21,29,23,35,28,29,32,33,34,34
JUN,20,29,24,35,27,28,33,33,34,35
JUL,22,28,24,35,27,29,33,32,34,34
AUG,22,28,24,31,25,29,33,33,34,35
SEP,23,27,23,29,24,30,34,35,34,35
OCT,23,26,22,27,22,29,33,34,34,35
NOV,22,25,22,27,21,29,31,32,33,33
DEC,22,26,21,27,19,29,31,31,32,35
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Bensin 95,23.89,27.55,29.18,35.64,38.26,42.34,39.65,41.92,46.32,46.3
Bensin 91,23.09,26.76,28.31,33.4,31.33,36.07,39.72,41.92,40.69,41.56
Gasohol 95,22.48,26.05,26.17,28.95,27.49,32.18,36.42,37.95,38.95,38.94
Diesel,20.01,25.56,25.66,31.16,24.77,28.59,29.44,30.41,29.97,29.73
Diesel B5,29.65,29.6,27.97,30.54,22.71,27.54,29.78,28.63,28.3,29.85
NGV,8.49,8.5,8.5,8.5,8.5,8.5,8.5,10.17,10.5,10.83
