YEAR,2540,2541,2542,2543,2544,2545,2546,2547,2548,2549,2550,2551,2552,2553,2554,2555,2556,2557,2558,2559,,YEAR,PRICE
JAN,6896,9580,6547,6802,6310,4992,5926,8791,7736,7873,8274,11906,12755,14337,12304,15024,16070,14223,13103,10798,,2548,7684
FEB,6526,8977,6650,6729,6451,4838,5720,8759,7604,7628,8072,10150,12188,14106,12511,15201,15702,14252,12565,10918,,2549,8180
MAR,7595,8749,6459,6906,5970,5098,6771,9062,7816,7960,8388,12995,13182,13948,11821,14770,15862,14186,13571,10725,,2550,8772
APR,7747,8661,6409,7413,5784,5122,7608,9209,7769,8069,8643,17292,13133,13178,12202,14628,15809,13846,13341,10901,,2551,13700
MAY,7754,8374,6246,6970,5862,5089,7502,9329,7913,8028,8526,17122,13175,13607,12113,14752,15643,13902,13470,10588,,2552,13512
JUN,8234,8495,6455,7621,5573,5390,7916,8607,7630,8160,8778,15570,13078,12803,12287,14616,15870,13812,13134,11062,,2553,13552
JUL,9461,8210,7062,8232,5174,6127,8182,7704,7618,8612,9016,13621,13372,13528,12942,15369,15675,13992,13073,11009,,2554,13035
AUG,8731,8278,6770,8088,5559,6085,8141,7894,7486,8353,8864,14307,13551,13125,12471,14832,15576,13886,13098,11130,,2555,15103
SEP,8998,8088,8061,7897,4766,6375,8995,7243,7816,8642,9033,13197,14847,13895,13275,15538,15776,14094,13282,10698,,2556,15582
OCT,7142,6678,7600,7074,4783,6019,7379,7777,7393,8262,8954,12728,13502,13184,15219,15302,14984,13367,12018,9517,,2557,13782
NOV,8685,7454,7848,7890,4920,6290,7973,7186,7850,8685,9028,13424,15203,14070,14265,15813,15708,14179,13099,10119,,,
DEC,7097,6276,6600,6476,4861,5559,7614,7555,7579,7882,9691,12089,14155,12837,15004,15386,14313,11649,11518,,,,
